OrderID,OrderDate,Region,City,RepID,ProductID,Channel,CustomerSegment,Units,UnitPrice,DiscountPct,ShipDays,Returned
ORD-103581,2025-11-10,North,Jaipur,R214,P1024,Partner,Corporate,3,13197.91,0.0,8.0,No
ORD-103607,2025-01-14,South,Hyderabad,R215,P1022,Partner,SMB,2,18562.17,0.0,4.0,No
ORD-104258,2024-02-17,West,Ahmedabad,R209,P1006,Partner,SMB,1,50958.58,0.0,7.0,No
ORD-101230,2025-06-10, North,Lucknow,R202,P1042,Retail,Corporate,2,871.77,0.05,6.0,No
ORD-103393,2024-06-28,West,Surat,R209,P1041,Partner,SMB,3,847.44,0.0,2.0,No
ORD-105874,2024-11-22,North,Lucknow,R210,P1008,Online,Consumer,4,40903.25,0.0,11.0,No
ORD-103586,2024-07-31,East,Kolkata,R216,P1016,Retail,SMB,3,24435.44,0.0,7.0,No
ORD-104789,2025-05-17,North,Jaipur,R218,P1027,Partner,SMB,2,22483.41,0.0,9.0,No
ORD-100383,2025-09-13,West,Ahmedabad,R217,P1051,Partner,Corporate,1,34697.92,0.05,1.0,No
ORD-100642,2025-11-07,South,Kochi,R203,P1034,Online,Consumer,5,696.8,0.0,1.0,No
ORD-101016,2024-09-10,East,Bhubaneswar,R216,P1022,Online,Corporate,3,18088.39,0.05,1.0,No
ORD-104555,2024-12-05,North,Chandigarh,R206,P1033,Partner,Corporate,7,839.57,0.0,9.0,No
ORD-102565,2025-05-26,West,Ahmedabad,R201,P1052,Retail,Consumer,2,19219.19,0.15,2.0,No
ORD-104863,2024-02-09,South,Kochi,R203,P1031,Partner,SMB,4,851.27,0.0,3.0,No
ORD-103601,2025-08-31,North,Delhi,R202,P1016,Online,Consumer,2,25411.34,0.05,10.0,No
ORD-104907,2024-12-05,South,Bengaluru,R215,P1026,Partner,Consumer,8,8403.39,0.0,1.0,No
ORD-100250,2024-07-30,East,Guwahati,R200,P1021,Retail,Consumer,5,17427.14,0.0,7.0,No
ORD-100354,2024-12-18,South,Bengaluru,R207,P1011,Partner,Consumer,2,60883.86,0.15,4.0,No
ORD-105338,2025-11-14,South,Bengaluru,R219,P1010,Retail,Corporate,5,74938.54,0.05,4.0,No
ORD-104994,2024-08-09,East,Patna,R204,P1044,Partner,Consumer,2,876.78,0.05,2.0,No
ORD-100161,2025-07-21,East,Bhubaneswar,R208,P1037,Retail,Corporate,4,915.41,0.0,8.0,No
ORD-103296,2025-09-18,North,Lucknow,R202,P1041,Partner,SMB,3,834.73,0.0,6.0,No
ORD-103230,2025-01-23,North,Lucknow,R214,P1048,Retail,SMB,2,17415.68,0.1,11.0,No
ORD-101299,2025-07-24,North,Delhi,R206,P1014,Retail,Corporate,2,39270.36,0.0,3.0,No
ORD-105861,2025-10-14,North,Jaipur,R214,P1023,Retail,SMB,6,25589.15,0.1,4.0,No
ORD-103770,2024-08-15,North,Delhi,R210,P1011,Online,Consumer,1,62210.68,0.0,11.0,No
ORD-105971,2024-09-27,South,Hyderabad,R203,P1006,Retail,Consumer,4,50034.71,0.0,7.0,No
ORD-102075,2024-12-28,East,Guwahati,R212,P1051,Partner,SMB,5,34349.97,0.0,2.0,No
ORD-102577,2024-10-27,North,Lucknow,R202,P1009,Retail,Corporate,5,43435.11,0.1,6.0,No
ORD-104219,2024-07-30,East,Guwahati,R204,P1006,Partner,SMB,4,51586.6,0.0,6.0,No
ORD-103264,2024-06-12,North,Chandigarh,R202,P1013,Partner,SMB,7,57021.53,0.0,11.0,No
ORD-101494,2024-03-26,South,Kochi,R215,P1009,Retail,Consumer,4,43584.21,0.0,10.0,No
ORD-104230,2024-07-24,West,Mumbai,R201,P1011,Retail,Consumer,5,61992.52,0.0,10.0,No
ORD-105944,2024-10-07,South,Kochi,R203,P1001,Partner,Consumer,4,64793.23,0.0,9.0,No
ORD-102819,2024-07-03,North,Chandigarh,R202,P1025,Retail,Corporate,4,16983.2,0.0,6.0,No
ORD-104682,2024-08-19,East,Bhubaneswar,R208,P1028,Retail,Consumer,2,22210.03,0.1,5.0,No
ORD-103350,2025-01-28,East,Kolkata,R200,P1003,Partner,Corporate,5,32467.87,0.0,9.0,No
ORD-101463,2024-03-24,South,Hyderabad,R207,P1037,Retail,SMB,2,926.88,0.05,3.0,No
ORD-105649,2025-07-05,East,Kolkata,R200,P1053,Partner,Consumer,2,31257.95,0.05,1.0,No
ORD-102954,2024-08-03,East,Kolkata,R208,P1021,Partner,Consumer,5,17156.39,0.15,,No
ORD-102397,2024-06-05,South,Chennai,R207,P1028,Partner,Corporate,4,22655.62,0.05,11.0,No
ORD-104761,2025-06-29,South,Hyderabad,R215,P1044,Retail,Corporate,1,888.54,0.15,8.0,No
ORD-104285,2024-10-22,East,Bhubaneswar,R216,P1039,Online,Corporate,5,583.16,0.0,11.0,No
ORD-100545,2024-02-28,South,Hyderabad,R219,P1041,Partner,SMB,4,826.26,0.05,5.0,No
ORD-103516,2024-05-23,South,Kochi,R215,P1009,Online,Corporate,4,44356.5,0.05,4.0,No
ORD-103067,2024-02-08,EAST,Bhubaneswar,R216,P1020,Retail,SMB,4,12042.57,0.0,,No
ORD-100634,2025-03-26,North,Lucknow,R206,P1020,Retail,SMB,4,11804.86,0.05,2.0,No
ORD-105569,2024-04-13,East,Bhubaneswar,R208,P1003,Retail,Consumer,1,33785.94,0.05,6.0,No
ORD-100689,2024-05-06,West,Surat,R209,P1051,Partner,SMB,2,33372.37,0.0,4.0,No
ORD-103015,2024-11-06,South,Kochi,R203,P1030,Online,SMB,3,8010.75,0.0,,No
ORD-102161,2024-05-17,West,Ahmedabad,R205,P1045,Retail,Consumer,2,444.5,0.0,3.0,No
ORD-104392,2025-05-31,East,Patna,R212,P1002,Online,Consumer,2,74911.92,0.0,4.0,No
ORD-102088,2025-01-02,East,Kolkata,R212,P1042,Online,SMB,2,860.13,0.0,11.0,No
ORD-102473,2024-05-26,West,Pune,R213,P1032,Partner,Consumer,2,843.69,0.1,6.0,No
ORD-102488,2025-09-06,South,Bengaluru,R207,P1003,Retail,SMB,6,33621.14,0.0,6.0,No
ORD-101854,2025-08-21,North,Lucknow,R218,P1004,Retail,Corporate,3,73360.95,0.0,6.0,No
ORD-104487,2025-12-05,North,Chandigarh,R218,P1023,Online,SMB,4,25347.98,0.05,4.0,Yes
ORD-101743,2025-04-16,North,Delhi,R214,P1004,Retail,Consumer,4,73804.36,0.0,5.0,No
ORD-100555,2025-12-24,North,Jaipur,R206,P1013,Partner,SMB,5,59631.57,0.0,4.0,No
ORD-100444,2025-05-28,East,Patna,R204,P1029,Retail,SMB,2,16128.14,0.0,1.0,No
ORD-102688,2024-11-29,North,Lucknow,R214,P1007,Online,Consumer,5,67859.83,0.0,9.0,No
ORD-103938,2025-12-17,East,Guwahati,R200,P1042,Retail,SMB,4,839.62,0.1,9.0,No
ORD-102928,2024-06-28,South,Kochi,R207,P1013,Online,Consumer,4,59753.45,0.05,1.0,No
ORD-102779,2025-01-13,North,Lucknow,R218,P1015,Partner,Consumer,1,33239.56,0.1,6.0,No
ORD-105870,2024-03-02,West,Pune,R213,P1039,Retail,Corporate,4,589.97,0.05,11.0,No
ORD-103153,2024-02-03,South,Chennai,R211,P1042,Partner,SMB,4,855.8,0.1,4.0,No
ORD-103521,2025-05-04,East,Bhubaneswar,R212,P1009,Online,SMB,3,43988.89,0.15,6.0,No
ORD-102107,2024-06-13,East,Bhubaneswar,R200,P1047,Online,SMB,3,18990.3,0.05,5.0,No
ORD-105814,2025-09-08,East,Kolkata,R204,P1048,Retail,Consumer,6,17812.86,0.05,2.0,No
ORD-102377,2024-07-06,West,Mumbai,R205,P1020,Retail,Consumer,2,11811.37,0.0,9.0,No
ORD-105772,2025-11-04,North,Jaipur,R206,P1018,Partner,Corporate,6,14086.01,0.0,4.0,No
ORD-102594,2025-07-17,East,Kolkata,R212,P1048,Retail,Corporate,4,18167.9,0.0,4.0,No
ORD-105554,2025-04-01,North,Jaipur,R218,P1005,Partner,Consumer,3,27959.22,0.0,4.0,No
ORD-105381,2024-03-20,South,Chennai,R207,P1037,Online,Corporate,3,903.83,0.15,3.0,No
ORD-104232,2024-10-21,East,Bhubaneswar,R204,P1052,Online,SMB,6,18661.11,0.1,2.0,No
ORD-104646,2025-06-04,South,Kochi,R219,P1007,Retail,Consumer,2,65085.5,0.0,8.0,No
ORD-101987,2025-10-04,West,Pune,R201,P1011,Online,Consumer,3,59965.25,0.0,7.0,No
ORD-105994,2024-08-24,East,Bhubaneswar,R212,P1034,Online,Consumer,2,693.53,0.1,2.0,No
ORD-105110,2024-02-06,South,Bengaluru,R207,P1045,Retail,Corporate,2,443.63,0.0,2.0,No
ORD-102193,2024-11-17,West,Mumbai,R205,P1038,Online,SMB,4,328.34,0.15,9.0,No
ORD-105578,2024-01-16,South,Chennai,R207,P1016,Retail,Consumer,3,24673.95,0.0,6.0,No
ORD-100136,2024-02-21,South,Bengaluru,R219,P1020,Retail,Corporate,-1,12220.05,0.0,5.0,No
ORD-100607,2025-08-02,West,Mumbai,R209,P1005,Partner,Corporate,2,28181.99,0.0,7.0,No
ORD-100496,2025-11-30,East,Patna,R204,P1002,Online,Consumer,6,78096.97,0.0,6.0,No
ORD-103735,2024-11-01,North,Delhi,R218,P1055,Online,Consumer,5,13736.13,0.0,9.0,No
ORD-105259,2025-08-13, South,Bengaluru,R219,P1035,Online,Corporate,4,331.37,0.0,5.0,No
ORD-105069,2024-05-14,South,Hyderabad,R215,P1045,Online,Corporate,2,440.45,0.0,11.0,No
ORD-101771,2024-11-10,South,Chennai,R219,P1018,Retail,Corporate,5,14023.47,0.1,9.0,No
ORD-103207,2024-04-20,East,Guwahati,R208,P1046,Partner,Corporate,3,14165.27,0.1,4.0,No
ORD-103080,2024-05-12,East,Patna,R216,P1014,Partner,Consumer,5,39546.61,0.15,5.0,No
ORD-103307,2025-05-14,North,Delhi,R210,P1055,Retail,Consumer,5,13506.34,0.15,2.0,No
ORD-105109,2025-11-18,North,Lucknow,R210,P1005,Partner,Corporate,6,28376.27,0.0,4.0,No
ORD-102653,2024-12-23,South,Kochi,R207,P1030,Retail,Consumer,10,8097.15,0.0,3.0,No
ORD-102213,2025-03-18,East,Bhubaneswar,R216,P1030,Partner,SMB,2,8099.63,0.0,7.0,No
ORD-101399,2024-07-26,East,Patna,R200,P1006,Partner,Corporate,1,50719.79,0.0,4.0,No
ORD-103853,2024-07-22,South,Kochi,R219,P1005,Online,Corporate,3,28610.69,0.0,7.0,No
ORD-105713,2025-09-10,East,Patna,R200,P1032,Online,SMB,3,853.53,0.15,11.0,No
ORD-103896,2025-01-25,East,Patna,R204,P1014,Retail,Consumer,3,39940.27,0.2,2.0,No
ORD-101122,2025-12-23,North,Lucknow,R202,P1032,Retail,Consumer,9,868.38,0.0,8.0,No
ORD-105540,2024-09-17,South,Chennai,R207,P1001,Partner,SMB,-4,64237.48,0.15,3.0,No
ORD-105341,2025-03-06,South,Bengaluru,R207,P1036,Partner,Consumer,4,464.26,0.0,7.0,No
ORD-102948,2024-11-24,East,Bhubaneswar,R212,P1009,Retail,Corporate,4,43751.28,0.1,11.0,No
ORD-103253,2025-02-25,South,Chennai,R215,P1008,Retail,Consumer,2,43244.71,0.05,4.0,Yes
ORD-102847,2025-02-12,North,Delhi,R218,P1029,Retail,Corporate,5,15967.4,0.1,10.0,No
ORD-102223,2025-08-24,East,Guwahati,R212,P1003,Retail,SMB,5,33218.02,0.15,8.0,No
ORD-104692,2025-03-18,North,Lucknow,R214,P1009,Online,Corporate,2,43992.73,0.0,7.0,No
ORD-100552,2025-03-13,North,Chandigarh,R218,P1007,Online,SMB,2,66549.9,0.05,4.0,No
ORD-100028,2024-01-24,West,Surat,R209,P1033,Retail,SMB,1,869.95,0.0,8.0,No
ORD-104941,2025-04-26,South,Hyderabad,R203,P1002,Partner,Corporate,2,77947.94,0.0,7.0,No
ORD-100503,2024-08-13,South,Kochi,R207,P1013,Partner,SMB,2,59593.55,0.0,4.0,No
ORD-103844,2024-04-14,West,Surat,R205,P1045,Online,Corporate,2,439.6,0.0,10.0,No
ORD-104879,2024-10-20,West,Ahmedabad,R209,P1052,Online,Consumer,5,18782.45,0.05,8.0,No
ORD-104701,2024-10-01,South,Bengaluru,R203,P1024,Partner,Corporate,3,12703.93,0.0,7.0,No
ORD-100867,2025-02-19,North,Jaipur,R206,P1049,Retail,Consumer,2,15601.84,0.05,8.0,No
ORD-100611,2024-10-30,West,Mumbai,R205,P1046,Partner,SMB,2,14590.17,0.15,8.0,No
ORD-104338,2024-12-15,West,Mumbai,R201,P1027,Online,Corporate,4,23371.57,0.05,6.0,Yes
ORD-102470,2025-05-23,South,Kochi,R203,P1007,Partner,Corporate,3,66313.58,0.0,1.0,No
ORD-101233,2025-10-08,North,Delhi,R210,P1045,Retail,SMB,9,454.69,0.0,10.0,No
ORD-102338,2025-04-13,South,Bengaluru,R219,P1027,Retail,Consumer,2,22874.65,0.15,8.0,No
ORD-100997,2024-12-24,West,Pune,R217,P1005,Retail,Consumer,5,29631.61,0.0,8.0,No
ORD-101634,2024-09-09,West,Pune,R201,P1005,Online,Corporate,2,29541.68,0.0,6.0,No
ORD-101416,2024-10-31,East,Guwahati,R204,P1003,Retail,Consumer,2,33355.96,0.0,10.0,No
ORD-101028,2025-09-29,North,Lucknow,R214,P1020,Online,Consumer,2,12282.57,0.2,7.0,No
ORD-105314,2024-12-14,North,Lucknow,R210,P1052,Online,Consumer,7,19090.55,0.0,1.0,No
ORD-100573,2024-04-04,South,Kochi,R219,P1042,Retail,Corporate,2,833.84,0.0,3.0,No
ORD-104573,2025-05-19,North,Jaipur,R214,P1035,Retail,Corporate,3,333.69,0.0,9.0,No
ORD-103922,2024-02-19,East,Kolkata,R200,P1032,Retail,Corporate,1,855.05,0.05,11.0,No
ORD-102032,2024-03-15,East,Patna,R212,P1020,Retail,Corporate,3,12294.77,0.0,7.0,No
ORD-102867,2025-06-10,South,Chennai,R215,P1039,Retail,Corporate,2,600.45,0.0,11.0,No
ORD-103917,2025-11-15,East,Kolkata,R216,P1040,Retail,Corporate,4,874.03,0.0,6.0,No
ORD-103716,2024-01-15,West,Pune,R209,P1005,Online,Consumer,3,28365.23,0.0,6.0,No
ORD-103275,2025-08-04,North,Chandigarh,R202,P1054,Online,Consumer,3,18481.78,0.15,1.0,No
ORD-103732,2025-01-22,West,Mumbai,R213,P1017,Partner,Corporate,2,12711.08,0.0,6.0,No
ORD-104365,2025-05-11,West,Surat,R201,P1043,Partner,Consumer,4,279.79,0.05,5.0,No
ORD-102011,2025-08-05,West,Mumbai,R209,P1035,Online,SMB,3,321.44,0.0,2.0,No
ORD-101156,2025-04-24,North,Lucknow,R218,P1007,Retail,Consumer,6,67313.01,0.0,11.0,No
ORD-100820,2024-12-24,West,Surat,R213,P1011,Online,Corporate,2,62447.98,0.0,6.0,No
ORD-101885,2025-12-13,North,Chandigarh,R218,P1010,Online,SMB,6,71730.39,0.0,9.0,No
ORD-100021,2024-05-09,West,Ahmedabad,R201,P1016,Retail,SMB,3,24997.39,0.0,9.0,No
ORD-100200,2024-09-24,East,Guwahati,R212,P1024,Partner,Consumer,2,12715.52,0.0,9.0,No
ORD-102646,2025-02-03,East,Guwahati,R204,P1054,Partner,Corporate,3,18812.86,0.0,1.0,No
ORD-102914,2024-06-09,West,Mumbai,R213,P1003,Retail,SMB,4,32191.45,0.15,2.0,No
ORD-104584,2025-07-01,West,Ahmedabad,R217,P1042,Partner,SMB,4,861.95,0.0,7.0,No
ORD-102437,2025-03-15,South,Chennai,R215,P1021,Partner,Corporate,2,17206.33,0.05,11.0,No
ORD-100958,2024-08-06,South,Chennai,R215,P1027,Online,Corporate,2,22659.85,0.0,3.0,No
ORD-103455,2024-07-10,North,Lucknow,R218,P1001,Partner,Corporate,1,62927.46,0.0,4.0,No
ORD-102292,2025-04-20,East,Kolkata,R212,P1015,Online,SMB,4,32866.32,0.1,10.0,No
ORD-104434,2025-01-14,South,Chennai,R207,P1022,Online,Corporate,1,17892.94,0.15,6.0,No
ORD-101926,2024-12-17,West,Surat,R201,P1038,Partner,Consumer,1,325.32,0.05,8.0,No
ORD-102742,2024-08-09,West,Mumbai,R201,P1052,Partner,SMB,3,18981.2,0.0,8.0,No
ORD-105034,2024-10-14,West,Mumbai,R201,P1002,Retail,Consumer,4,78993.24,0.0,8.0,Yes
ORD-101662,2024-11-24,South,Kochi,R219,P1011,Retail,Corporate,3,60186.16,0.0,3.0,No
ORD-104576,2025-10-19,West,Mumbai,R209,P1007,Retail,Consumer,7,66286.91,0.05,7.0,No
ORD-101519,2025-12-29,East,Kolkata,R216,P1052,Retail,Consumer,5,18899.91,0.1,3.0,No
ORD-104070,2025-09-12,West,Mumbai,R209,P1034,Online,Consumer,3,709.3,0.0,3.0,Yes
ORD-100119,2024-07-23,North,Lucknow,R206,P1030,Partner,Consumer,1,8095.24,0.0,1.0,No
ORD-104616,2024-12-13,East,Bhubaneswar,R212,P1045,Online,Corporate,9,454.8,0.0,4.0,No
ORD-103287,2024-11-17,East,Guwahati,R200,P1054,Online,SMB,4,18264.28,0.0,2.0,No
ORD-101475,2024-12-29,South,Bengaluru,R211,P1009,Online,Consumer,5,44322.69,0.1,,No
